time, Quad.Est.E.Pos, Quad.Est.S.Z
1.855031,0.132970,0.376488
1.860031,0.133399,0.376797
1.865031,0.134043,0.377273
1.870031,0.134472,0.377599
1.875032,0.135116,0.378100
1.880032,0.135545,0.378443
1.885032,0.136189,0.378970
1.890032,0.136619,0.379331
1.895033,0.137264,0.379886
1.900033,0.137693,0.380265
1.905033,0.118526,0.377019
1.910033,0.118541,0.377256
1.915033,0.118564,0.377620
1.920034,0.118579,0.377869
1.925034,0.118602,0.378252
1.930034,0.118618,0.378514
1.935034,0.118641,0.378917
1.940035,0.118657,0.379193
1.945035,0.118682,0.379618
1.950035,0.118698,0.379909
1.955035,0.118723,0.380356
1.960036,0.118740,0.380662
1.965036,0.118765,0.381133
1.970036,0.118783,0.381456
1.975036,0.118809,0.381952
1.980036,0.118827,0.382291
1.985037,0.118854,0.382813
1.990037,0.118872,0.383170
1.995037,0.118900,0.383720
2.000037,0.118918,0.384095
2.005037,0.120009,0.380881
2.010037,0.119904,0.381116
2.015036,0.119747,0.381476
2.020036,0.119641,0.381723
2.025036,0.119484,0.382102
2.030035,0.119379,0.382361
2.035035,0.119222,0.382761
2.040035,0.119117,0.383034
2.045034,0.118960,0.383454
2.050034,0.118855,0.383742
2.055033,0.118697,0.384185
2.060033,0.118590,0.384488
2.065033,0.118429,0.384955
2.070032,0.118324,0.385274
2.075032,0.118164,0.385765
2.080032,0.118057,0.386101
2.085031,0.117895,0.386618
2.090031,0.117781,0.386972
2.095031,0.117612,0.387516
2.100030,0.117502,0.387887
2.105030,0.127660,0.384705
2.110029,0.127949,0.384937
2.115029,0.128376,0.385294
2.120029,0.128665,0.385538
2.125028,0.129079,0.385913
2.130028,0.129353,0.386170
2.135028,0.129759,0.386566
2.140027,0.130049,0.386836
2.145027,0.130466,0.387253
2.150027,0.130749,0.387538
2.155026,0.131171,0.387976
2.160026,0.131438,0.388276
2.165025,0.131853,0.388738
2.170025,0.132161,0.389054
2.175025,0.132597,0.389541
2.180024,0.132831,0.389873
2.185024,0.133235,0.390385
2.190024,0.133490,0.390736
2.195023,0.133874,0.391274
2.200023,0.134177,0.391643
2.205023,0.133868,0.388491
2.210022,0.133883,0.388720
2.215022,0.133984,0.389074
2.220021,0.134074,0.389316
2.225021,0.134164,0.389687
2.230021,0.134239,0.389942
2.235020,0.134360,0.390333
2.240020,0.134408,0.390601
2.245020,0.134511,0.391014
2.250019,0.134614,0.391296
2.255019,0.134742,0.391730
2.260019,0.134892,0.392027
2.265018,0.135075,0.392485
2.270018,0.135158,0.392798
2.275017,0.135343,0.393280
